loss	model	dataset	filtering	type	set
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.594099195	ALRo	PCOS	10	training	svmRadial
0.603147282	ALRo	PCOS	10	training	svmRadial
0.579965324	ALRo	PCOS	10	training	svmRadial
0.597911444	ALRo	PCOS	10	training	svmRadial
0.57910957	ALRo	PCOS	10	training	svmRadial
0.552889998	ALRr	PCOS	10	training	svmRadial
0.577300231	ALRr	PCOS	10	training	svmRadial
0.567889372	ALRr	PCOS	10	training	svmRadial
0.554067792	ALRr	PCOS	10	training	svmRadial
0.544623162	ALRr	PCOS	10	training	svmRadial
0.583698891	ALRw	PCOS	10	training	svmRadial
0.515039063	ALRw	PCOS	10	training	svmRadial
0.557159369	ALRw	PCOS	10	training	svmRadial
0.577973903	ALRw	PCOS	10	training	svmRadial
0.53501316	ALRw	PCOS	10	training	svmRadial
0.563810787	CLR	PCOS	10	training	svmRadial
0.573733428	CLR	PCOS	10	training	svmRadial
0.556681359	CLR	PCOS	10	training	svmRadial
0.540090937	CLR	PCOS	10	training	svmRadial
0.533290859	CLR	PCOS	10	training	svmRadial
0.543986916	TSS	PCOS	10	training	svmRadial
0.531444964	TSS	PCOS	10	training	svmRadial
0.542452269	TSS	PCOS	10	training	svmRadial
0.553821998	TSS	PCOS	10	training	svmRadial
0.537903681	TSS	PCOS	10	training	svmRadial
0.532216466	ALRo	PCOS	50	training	svmRadial
0.523620627	ALRo	PCOS	50	training	svmRadial
0.534326607	ALRo	PCOS	50	training	svmRadial
0.52317395	ALRo	PCOS	50	training	svmRadial
0.528245112	ALRo	PCOS	50	training	svmRadial
0.584571357	ALRr	PCOS	50	training	svmRadial
0.539625111	ALRr	PCOS	50	training	svmRadial
0.57524858	ALRr	PCOS	50	training	svmRadial
0.555407475	ALRr	PCOS	50	training	svmRadial
0.565576607	ALRr	PCOS	50	training	svmRadial
0.534884693	ALRw	PCOS	50	training	svmRadial
0.534602691	ALRw	PCOS	50	training	svmRadial
0.523069853	ALRw	PCOS	50	training	svmRadial
0.52538784	ALRw	PCOS	50	training	svmRadial
0.55903242	ALRw	PCOS	50	training	svmRadial
0.542608762	CLR	PCOS	50	training	svmRadial
0.526915525	CLR	PCOS	50	training	svmRadial
0.516233567	CLR	PCOS	50	training	svmRadial
0.511273814	CLR	PCOS	50	training	svmRadial
0.523144705	CLR	PCOS	50	training	svmRadial
0.544226966	TSS	PCOS	50	training	svmRadial
0.543964461	TSS	PCOS	50	training	svmRadial
0.559638898	TSS	PCOS	50	training	svmRadial
0.557569143	TSS	PCOS	50	training	svmRadial
0.548327136	TSS	PCOS	50	training	svmRadial
0.505226481	ALRo	PCOS	10	test	svmRadial
0.505226481	ALRo	PCOS	10	test	svmRadial
0.505226481	ALRo	PCOS	10	test	svmRadial
0.505226481	ALRo	PCOS	10	test	svmRadial
0.505226481	ALRo	PCOS	10	test	svmRadial
0.530778165	ALRr	PCOS	10	test	svmRadial
0.530778165	ALRr	PCOS	10	test	svmRadial
0.544715447	ALRr	PCOS	10	test	svmRadial
0.536585366	ALRr	PCOS	10	test	svmRadial
0.515679443	ALRr	PCOS	10	test	svmRadial
0.450638792	ALRw	PCOS	10	test	svmRadial
0.4970964	ALRw	PCOS	10	test	svmRadial
0.571428571	ALRw	PCOS	10	test	svmRadial
0.43554007	ALRw	PCOS	10	test	svmRadial
0.529616725	ALRw	PCOS	10	test	svmRadial
0.552845528	CLR	PCOS	10	test	svmRadial
0.55981417	CLR	PCOS	10	test	svmRadial
0.50058072	CLR	PCOS	10	test	svmRadial
0.540069686	CLR	PCOS	10	test	svmRadial
0.55981417	CLR	PCOS	10	test	svmRadial
0.412311266	TSS	PCOS	10	test	svmRadial
