loss	model	dataset	filtering	type	set
4.892243707	TSS	PCOS	10	test	svmRadial
4.892243707	TSS	PCOS	10	test	svmRadial
5.385043124	ALRo	PCOS	50	test	svmRadial
5.2088403	ALRo	PCOS	50	test	svmRadial
5.385043124	ALRo	PCOS	50	test	svmRadial
5.385043124	ALRo	PCOS	50	test	svmRadial
5.385043124	ALRo	PCOS	50	test	svmRadial
5.207539999	ALRr	PCOS	50	test	svmRadial
5.335452357	ALRr	PCOS	50	test	svmRadial
5.335452357	ALRr	PCOS	50	test	svmRadial
5.335452357	ALRr	PCOS	50	test	svmRadial
5.335452357	ALRr	PCOS	50	test	svmRadial
5.215599487	ALRw	PCOS	50	test	svmRadial
5.215599487	ALRw	PCOS	50	test	svmRadial
5.215599487	ALRw	PCOS	50	test	svmRadial
5.215599487	ALRw	PCOS	50	test	svmRadial
5.215599487	ALRw	PCOS	50	test	svmRadial
5.362754995	CLR	PCOS	50	test	svmRadial
5.362754995	CLR	PCOS	50	test	svmRadial
5.362754995	CLR	PCOS	50	test	svmRadial
5.362754995	CLR	PCOS	50	test	svmRadial
5.358971271	CLR	PCOS	50	test	svmRadial
5.209504691	TSS	PCOS	50	test	svmRadial
5.209504691	TSS	PCOS	50	test	svmRadial
5.209504691	TSS	PCOS	50	test	svmRadial
5.209504691	TSS	PCOS	50	test	svmRadial
5.209504691	TSS	PCOS	50	test	svmRadial
