loss	type	model	dataset	filtering	procedure	set
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0	I11	90	imputation	leaky
0.633701601	test	pred_bal_0	I11	90	imputation	leaky
0.637946908	test	pred_bal_0	I11	90	imputation	leaky
0.635773106	test	pred_bal_0	I11	90	imputation	leaky
0.638151501	test	pred_bal_0	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.647796149	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.633946154	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.633946154	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.631476651	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.639302337	test	pred_bal_0	I11	90	imputation	leaky
0.633599304	test	pred_bal_0	I11	90	imputation	leaky
0.638688558	test	pred_bal_0	I11	90	imputation	leaky
0.638688558	test	pred_bal_0	I11	90	imputation	leaky
0.637946908	test	pred_bal_0	I11	90	imputation	leaky
0.591171807	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.591171807	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.591171807	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.591171807	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.647796149	training	model_bal_0	I11	90	imputation	leaky
0.647813731	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.633946154	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.631476651	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.624494911	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.6389443	test	pred_bal_0	I11	90	imputation	leaky
0.629891054	test	pred_bal_0	I11	90	imputation	leaky
0.629353997	test	pred_bal_0	I11	90	imputation	leaky
0.635389494	test	pred_bal_0	I11	90	imputation	leaky
0.644545036	test	pred_bal_0	I11	90	imputation	leaky
0.591171807	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.591171807	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.647796149	training	model_bal_0	I11	90	imputation	leaky
